x0,x1,x2,x3,x4,x5,x6,y
-6.29750472,-1.449130123,-4.616310885,4.958911868,4.391986687,47.85066386,26.27989823,0
0.530942841,2.077289619,-8.955618364,-3.943135271,2.40102515,0.43432766,14.76531521,0
9.19418526,-8.983424276,-6.310395309,-4.95630075,5.843681032,-31.8332676,9.094096073,0
1.62777032,-2.57929632,-17.39134287,0.960721681,1.954698328,26.46842248,-17.41280998,0
-12.58797204,-2.806756636,12.9096411,-3.255913277,4.836634299,-12.54928767,-52.34815398,0
-4.454244428,-9.126519255,3.79142457,1.14108933,-2.32648022,-27.72765211,21.59837686,0
-4.004650994,-0.533924057,4.045958736,4.196960577,-2.294984848,-25.61719018,-5.500394433,0
1.203170765,-0.068986054,7.292028629,0.033451377,-3.702117486,-76.52710378,21.29114898,1
4.914086287,3.757195184,3.313159159,-1.081296462,0.857638336,25.13692479,28.5687423,0
-7.866492507,7.520507773,4.76022311,8.155515717,2.153115391,3.934019997,-30.45492383,0
2.892021321,-3.252275787,-1.342817543,-1.867482225,-2.297669762,-19.2325751,-16.52979465,0
-13.10216529,1.995438304,0.898258288,-1.773999267,-1.409452941,-36.15412186,-0.062417394,0
-5.912092674,13.53287569,3.507955499,0.326678901,-0.953393307,-21.46165387,-17.10836893,0
5.843420793,2.174505297,-0.143474691,-6.524289648,-9.50522947,-4.727592722,-41.54881287,0
1.153995758,-7.564383325,6.440013634,-2.420879975,-9.199527841,-36.71684614,20.03060081,1
3.292302756,0.589158208,-1.648695057,9.253801747,-2.165206668,11.14826399,21.91153679,0
-4.153508193,-7.22168186,3.14676831,-4.286948817,6.312065025,14.74272805,16.66847573,1
-2.034851003,0.452338175,-3.116987104,-4.531731432,-4.63449742,17.500979,11.40557518,0
3.34502164,3.690091606,9.770306938,3.142210725,-3.689972392,1.429848317,11.45426471,1
-1.359695285,-11.37736264,-8.125964025,-5.633980287,-2.86535887,-43.45959211,-23.27967881,0
-1.668896405,3.852454265,-0.084616314,-1.295015742,2.920327193,-9.459259752,6.887931221,0
3.732823761,3.166422147,-4.199313778,-4.235146222,-3.739718227,-36.1861856,-4.43189503,0
4.878525412,3.404147451,-2.028379504,1.643125531,4.857981463,7.247863861,-20.81870199,0
-5.312735657,-11.13413936,-1.484867216,-10.56471263,3.141446267,-29.09667549,-28.4151531,0
-1.616360379,-4.274979848,-3.609507704,-1.290534054,2.622701061,-42.85785136,4.272506363,0
9.771924789,-1.646708852,6.612082188,9.614145793,11.431524,6.991661548,-40.81150791,0
8.421633306,-3.200323387,-7.037875605,-8.768310565,-3.937665007,18.2641529,0.935622478,0
-4.404366022,6.369451918,2.312855859,2.767793554,5.216604085,6.067015292,-42.86677712,1
-4.420766037,-4.636880513,11.19733068,-1.087295099,1.981112927,41.92882269,11.52745313,0
-2.531977422,-6.595528538,6.116183342,2.411849501,5.816545446,-5.547794944,-5.549862637,0
-9.128110701,1.264403627,1.711104294,0.436884971,2.546053932,29.34927003,-31.22774048,0
0.470871851,-0.301426242,-2.078605788,-0.945362307,-1.647381441,30.8601077,18.33455299,0
12.6180242,1.48304684,-14.29791481,-7.275944402,2.418056977,32.39859988,-3.435413531,0
-2.261743267,0.618661492,5.929558783,-3.937314673,-2.52644185,-19.63877341,-1.10358408,0
0.076119082,-0.103719706,5.842590135,0.71624519,2.227671386,-8.237388822,-4.639257094,0
-1.682610242,3.653855337,-4.064460288,-5.70366262,7.451173202,9.600650897,-33.6567087,0
